address,sink,flavor,enclosing_fn,ef_file,ef_line,inner_file,inner_line,outer_file,outer_line,bucket,status,final_file,final_line,method,confidence,reason
0x1638a,panic_bounds_check,bounds,"<capsules_extra::tickv::TickFSFlashCtrl<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>> as tickv::flash_controller::FlashController<4096>>::write",./capsules/extra/src/tickv.rs,264,./capsules/extra/src/tickv.rs,264,./capsules/extra/src/tickv.rs,264,annotatable,marked,capsules/extra/src/tickv.rs,264,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x18ad2,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096>>::complete_init",./capsules/extra/src/tickv.rs,347,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,347,annotatable,marked,capsules/extra/src/tickv.rs,347,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x18ae4,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096>>::complete_init",./capsules/extra/src/tickv.rs,348,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,348,annotatable,marked,capsules/extra/src/tickv.rs,348,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x18acc,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096>>::complete_init",./capsules/extra/src/tickv.rs,360,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,360,annotatable,marked,capsules/extra/src/tickv.rs,360,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x18ade,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096>>::complete_init",./capsules/extra/src/tickv.rs,361,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,361,annotatable,marked,capsules/extra/src/tickv.rs,361,no FLUX-* marker found in file within reasonable window,medium,needs new marker
0x18ad8,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096>>::complete_init",./capsules/extra/src/tickv.rs,372,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,372,annotatable,marked,capsules/extra/src/tickv.rs,372,branch FLUX-* marker within ±6 lines of effective_frame,high,
0x1cce4,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096> as kernel::hil::hasher::Client<8>>::add_mut_data_done",./capsules/extra/src/tickv.rs,399,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,399,annotatable,marked,capsules/extra/src/tickv.rs,399,no FLUX-* marker found in file within reasonable window,medium,needs new marker
0x1cd7a,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096> as kernel::hil::hasher::Client<8>>::hash_done",./capsules/extra/src/tickv.rs,406,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,405,annotatable,marked,capsules/extra/src/tickv.rs,406,"branch FLUX-* marker at line 415 (Δ=+9, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1d00c,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096> as kernel::hil::flash::Client<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>>>::read_complete",./capsules/extra/src/tickv.rs,454,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,451,annotatable,marked,capsules/extra/src/tickv.rs,454,"branch FLUX-* marker at line 472 (Δ=+18, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
0x1d024,unwrap_failed,unwrap_option,"<capsules_extra::tickv::TicKVSystem<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>, capsules_extra::sip_hash::SipHasher24, 4096> as kernel::hil::flash::Client<capsules_extra::mx25r6435f::MX25R6435F<capsules_core::virtualizers::virtual_spi::VirtualSpiMasterDevice<nrf52::spi::SPIM>, nrf5x::gpio::GPIOPin, capsules_core::virtualizers::virtual_alarm::VirtualMuxAlarm<nrf5x::rtc::Rtc>>>>::read_complete",./capsules/extra/src/tickv.rs,455,/rustc/cbfdf0b014cb04982a9cbeec1578001001167f6e/library/core/src/option.rs,978,./capsules/extra/src/tickv.rs,451,annotatable,marked,capsules/extra/src/tickv.rs,455,"branch FLUX-* marker at line 472 (Δ=+17, line-shift from inserted annotations)",medium,marker exists at offset; verify visually
